Filename,Value
tsp_1000_1,20418504.465244103
tsp_100_1,23260.64850742634
tsp_100_2,23381.008853834166
tsp_100_3,22071.11987057062
tsp_100_4,21806.041571027232
tsp_100_5,22530.903091489283
tsp_100_6,8445.686945553596
tsp_101_1,678.8819592772318
tsp_105_1,15316.909116476905
tsp_1060_1,242255.27737495117
tsp_107_1,47135.4651378809
tsp_1084_1,259871.9371000052
tsp_1173_1,62249.60281535198
tsp_11849_1,1123526.1507950125
tsp_124_1,61113.58590920148
tsp_127_1,127950.22222234703
tsp_1291_1,57447.775031884186
tsp_1304_1,273555.9822838493
tsp_1323_1,295086.2464348273
tsp_136_1,100835.07813057848
tsp_1379_1,63255.159628721274
tsp_1400_1,22402.817862605025
tsp_14051_1,581056.0467559228
tsp_1432_1,167649.56593192375
tsp_144_1,61097.93658681877
tsp_150_1,27955.05487171221
tsp_150_2,27238.421473970637
tsp_152_1,75014.954790821
tsp_1577_1,24481.58804973113
tsp_159_1,44199.70425167023
tsp_1655_1,70309.63875236888
tsp_1748_1,371457.2827194834
tsp_1817_1,64631.77133341016
tsp_18512_1,801294.3031706475
tsp_1889_1,343375.7174054034
tsp_195_1,2514.6182773547107
tsp_198_1,16314.55857823003
tsp_200_1,31738.767018990373
tsp_200_2,30689.549027279336
tsp_2103_1,85155.83631259347
tsp_2152_1,75475.32334624066
tsp_225_1,129093.46388634144
tsp_226_1,83610.09100527
tsp_2319_1,255305.13513178873
tsp_2392_1,438183.95230738027
tsp_262_1,2519.5989262598437
tsp_264_1,51288.43527936549
tsp_299_1,50917.4720601397
tsp_3038_1,158938.77015623223
tsp_318_1,45224.20281608916
tsp_318_2,45839.04547433526
tsp_33810_1,89325678.18970267
tsp_3795_1,33455.03121744646
tsp_400_1,16409.548497843978
tsp_417_1,12779.079218640924
tsp_439_1,115504.45008229873
tsp_442_1,53977.141352007515
tsp_4461_1,226211.26416050372
tsp_493_1,37442.837666574924
tsp_51_1,431.9840876536344
tsp_574_1,40004.91152991255
tsp_575_1,7432.17085207494
tsp_5915_1,697824.4695549478
tsp_5934_1,694181.1071159614
tsp_5_1,3.0
tsp_654_1,37234.17070352605
tsp_657_1,52680.816657509815
tsp_70_1,715.8509684199436
tsp_724_1,45930.801054184136
tsp_7397_1,27814520.526833713
tsp_76_1,563.6025775629851
tsp_76_2,111522.42527829688
tsp_783_1,9756.512106950539
tsp_85900_1,180056160.70074087
tsp_9432_1,67057.52128468192
tsp_99_1,1284.3864059806547
