Filename,Value
tsp_1000_1,18662570.719769098
tsp_100_1,21285.44318157108
tsp_100_2,22139.074615151112
tsp_100_3,20750.762503687547
tsp_100_4,21294.290821490347
tsp_100_5,22068.758669355724
tsp_100_6,7910.396210215005
tsp_101_1,640.9333240513895
tsp_105_1,14382.99593345118
tsp_1060_1,224086.31224442515
tsp_107_1,44301.68367681015
tsp_1084_1,239336.09963614919
tsp_1173_1,56939.32867560922
tsp_11849_1,926281.1840538465
tsp_124_1,59030.735702981634
tsp_127_1,118293.52381566976
tsp_1291_1,51289.51664985211
tsp_1304_1,252940.6985518894
tsp_1323_1,270311.0086320309
tsp_136_1,96770.92412211718
tsp_1379_1,56712.118471954265
tsp_1400_1,20294.74242678352
tsp_14051_1,470616.7468111182
tsp_1432_1,153145.6848193868
tsp_144_1,58535.221761372166
tsp_150_1,26525.031010513216
tsp_150_2,26127.357888740604
tsp_152_1,73683.64062763304
tsp_1577_1,22484.136792262598
tsp_159_1,42075.670040019366
tsp_1655_1,62512.72641558667
tsp_1748_1,336977.71133701166
tsp_1817_1,57995.43192152444
tsp_18512_1,646987.3597382763
tsp_1889_1,316578.06535851787
tsp_195_1,2333.873187700557
tsp_198_1,15808.65205056308
tsp_200_1,29369.407046748292
tsp_200_2,29440.412220624276
tsp_2103_1,80560.71798552826
tsp_2152_1,65286.075239963735
tsp_225_1,126645.93368025386
tsp_226_1,80370.25705287066
tsp_2319_1,234533.46688200504
tsp_2392_1,378062.82619143825
tsp_262_1,2389.3176642760395
tsp_264_1,49135.00496337506
tsp_299_1,48194.92010274797
tsp_3038_1,138081.43287442438
tsp_318_1,42176.91222969795
tsp_318_2,42176.91222969795
tsp_33810_1,66234887.52668489
tsp_3795_1,28831.615822683605
tsp_400_1,15276.921094499196
tsp_417_1,11914.556498285405
tsp_439_1,107215.30171475123
tsp_442_1,50783.54751373531
tsp_4461_1,183096.04220156829
tsp_493_1,35021.13459944387
tsp_51_1,429.1179391998254
tsp_574_1,36935.3742208762
tsp_575_1,6798.255480545574
tsp_5915_1,567721.6378298575
tsp_5934_1,557519.5972697282
tsp_5_1,4.0
tsp_654_1,34646.8347095818
tsp_657_1,48917.20321736461
tsp_70_1,677.8718455598462
tsp_724_1,41907.72227494635
tsp_7397_1,23296932.582375426
tsp_76_1,544.9467654302023
tsp_76_2,108159.43827413769
tsp_783_1,8846.45640342062
tsp_85900_1,142661579.769638
tsp_9432_1,55550.392476362234
tsp_99_1,1219.2437686776968
